Monitor Jitter Times,Monitor Average
0.002,0.002
-0.002,0.002
0.001,0.002
-0.001,0.002
-0.01,0.002
-0.001,0.002
0.001,0.002
-0.003,0.002
-0.002,0.002
0,0.002
0.001,0.002
-0.007,0.002
0.001,0.002
0,0.002
-0.005,0.002
0,0.002
-0.005,0.002
0.001,0.002
0.001,0.002
-0.001,0.002
0.002,0.002
-0.002,0.002
-0.015,0.002
0.005,0.002
-0.005,0.002
-0.01,0.002
-0.006,0.002
-0.011,0.002
-0.002,0.002
-0.001,0.002
0.001,0.002
0,0.002
-0.008,0.002
-0.001,0.002
-0.001,0.002
0.002,0.002
-0.007,0.002
-0.012,0.002
-0.007,0.002
-0.001,0.002
0,0.002
0.004,0.002
0.027,0.002
-0.005,0.002
-0.008,0.002
-0.002,0.002
0.005,0.002
0.01,0.002
0.012,0.002
0.01,0.002
0.032,0.002
0.037,0.002
0,0.002
0.013,0.002
0.004,0.002
0.003,0.002
-0.001,0.002
0.003,0.002
0.001,0.002
0,0.002
-0.01,0.002
-0.007,0.002
0.005,0.002
0.002,0.002
0.003,0.002
0.004,0.002
0.004,0.002
-0.002,0.002
-0.008,0.002
0.001,0.002
0.002,0.002
0.003,0.002
0.002,0.002
0.001,0.002
0.003,0.002
0.004,0.002
-0.003,0.002
0,0.002
-0.005,0.002
0.004,0.002
0.029,0.002
0.008,0.002
0.007,0.002
0.002,0.002
0,0.002
0.001,0.002
0.001,0.002
0.005,0.002
0.002,0.002
-0.011,0.002
-0.005,0.002
-0.001,0.002
0.002,0.002
-0.005,0.002
-0.004,0.002
0.026,0.002
-0.002,0.002
-0.007,0.002
0.005,0.002
0.012,0.002
-0.004,0.002
0.003,0.002
-0.001,0.002
0,0.002
-0.003,0.002
-0.003,0.002
0,0.002
-0.009,0.002
0.001,0.002
-0.004,0.002
0,0.002
0.001,0.002
0.002,0.002
0,0.002
0.002,0.002
0.004,0.002
0.002,0.002
0.001,0.002
0.002,0.002
-0.01,0.002
0.002,0.002
0.002,0.002
-0.004,0.002
-0.004,0.002
0.031,0.002
0.035,0.002
0.004,0.002
-0.002,0.002
-0.012,0.002
0.013,0.002
0.023,0.002
0.019,0.002
-0.006,0.002
0.008,0.002
-0.002,0.002
0.002,0.002
-0.012,0.002
-0.006,0.002
-0.004,0.002
-0.004,0.002
0,0.002
-0.006,0.002
0,0.002
0.004,0.002
0.002,0.002
0.021,0.002
0.008,0.002
0.002,0.002
0.006,0.002
-0.008,0.002
0,0.002
-0.006,0.002
0.002,0.002
0.006,0.002
0.037,0.002
0.035,0.002
0.002,0.002
0.002,0.002
-0.004,0.002
0,0.002
0.006,0.002
0,0.002
0.002,0.002
-0.002,0.002
0.023,0.002
0.033,0.002
-0.008,0.002
-0.004,0.002
0.002,0.002
0.004,0.002
0.002,0.002
0.01,0.002
-0.002,0.002
0.002,0.002
0.004,0.002
0.008,0.002
0.004,0.002
0.004,0.002
-0.012,0.002
0.008,0.002
0.002,0.002
0.002,0.002
-0.01,0.002
-0.002,0.002
0,0.002
0,0.002
0,0.002
0,0.002
0,0.002
0.004,0.002
0.025,0.002
0.004,0.002
0.002,0.002
0.002,0.002
-0.002,0.002
0.006,0.002
0.002,0.002
0.006,0.002
-0.004,0.002
-0.008,0.002
-0.01,0.002
0.006,0.002
-0.01,0.002
0,0.002
-0.006,0.002
0.027,0.002
0.025,0.002
0.023,0.002
0.029,0.002
-0.006,0.002
-0.002,0.002
-0.002,0.002
0.004,0.002
0.013,0.002
0.021,0.002
0.015,0.002
0.006,0.002
0.002,0.002
-0.01,0.002
0.006,0.002
-0.006,0.002
-0.006,0.002
0.002,0.002
-0.01,0.002
-0.004,0.002
-0.004,0.002
-0.002,0.002
-0.004,0.002
0.002,0.002
0,0.002
0.002,0.002
0,0.002
-0.01,0.002
-0.006,0.002
0.002,0.002
-0.004,0.002
-0.004,0.002
0,0.002
0.002,0.002
-0.01,0.002
0,0.002
0,0.002
-0.004,0.002
0.002,0.002
-0.012,0.002
-0.006,0.002
0.004,0.002
-0.006,0.002
-0.002,0.002
0.002,0.002
0,0.002
-0.008,0.002
0.006,0.002
0.002,0.002
0,0.002
